,O_lon_old,O_lat_old,D_lon_old,D_lat_old,O_lon,O_lat,D_lon,D_lat,District,O_time_relative,is_O_adjusted,is_D_adjusted
7034,-73.9866714477539,40.73981857299805,-73.9847183227539,40.73699188232422,-73.9866714477539,40.73981857299805,-73.9847183227539,40.73699188232422,2,3593.0,False,False
7035,-73.98421478271484,40.74003219604492,-73.98258972167967,40.75092315673828,-73.98421478271484,40.74003219604492,-73.9822176,40.7457792,2,3593.0,False,True
7036,-73.98390197753906,40.73180770874024,-73.97261810302734,40.753032684326165,-73.98390197753906,40.73180770874024,-73.9772763,40.7428905,2,3595.0,False,True
7037,-73.98075866699219,40.74486923217773,-73.9781494140625,40.75117874145508,-73.98075866699219,40.74486923217773,-73.9806695,40.7451276,2,3595.0,False,True
7038,-73.98526000976561,40.7418212890625,-73.9687271118164,40.76416015625,-73.98526000976561,40.7418212890625,-73.9806695,40.7451276,2,3595.0,False,True
7039,-73.98470306396483,40.728225708007805,-73.97057342529298,40.75828552246094,-73.98470306396483,40.728225708007805,-73.9806695,40.7451276,2,3599.0,False,True
7040,-73.98426818847656,40.74334335327149,-73.97515106201173,40.7412338256836,-73.98426818847656,40.74334335327149,-73.9772763,40.7428905,2,3599.0,False,True
7041,-73.98152160644531,40.7327995300293,-73.99140930175781,40.74475860595703,-73.98152160644531,40.7327995300293,-73.9875061,40.7415447,2,3605.0,False,True
7042,-73.99705505371094,40.74211120605469,-73.98591613769531,40.74368667602539,-73.9936325,40.7360074,-73.98591613769531,40.74368667602539,2,3605.5,True,False
7043,-73.98517608642578,40.73606872558594,-73.9672622680664,40.76024627685546,-73.98517608642578,40.73606872558594,-73.9772763,40.7428905,2,3606.0,False,True
7044,-73.98074340820312,40.747840881347656,-73.98625183105469,40.740188598632805,-73.9822176,40.7457792,-73.98625183105469,40.740188598632805,2,3612.0,True,False
7045,-73.99839782714845,40.74060821533203,-73.98524475097656,40.73892211914063,-73.9936325,40.7360074,-73.98524475097656,40.73892211914063,2,3618.0,True,False
7046,-73.97975158691406,40.724517822265625,-73.9852066040039,40.71546936035156,-73.97975158691406,40.724517822265625,-73.9831408,40.7171684,2,3619.0,False,True
7047,-73.99677276611328,40.73656845092773,-73.994873046875,40.739219665527344,-73.99677276611328,40.73656845092773,-73.9936325,40.7360074,2,3620.0,False,True
7048,-73.98587036132812,40.74099349975586,-73.98506164550781,40.759368896484375,-73.98587036132812,40.74099349975586,-73.9859434,40.7465313,2,3621.0,False,True
7049,-73.98245239257811,40.745113372802734,-73.97698211669923,40.755081176757805,-73.98245239257811,40.745113372802734,-73.9806695,40.7451276,2,3622.0,False,True
7050,-73.97077941894531,40.758487701416016,-73.97793579101561,40.738723754882805,-73.9806695,40.7451276,-73.97793579101561,40.738723754882805,2,3623.0,True,False
7051,-73.98786926269531,40.72311401367188,-73.97875213623048,40.744728088378906,-73.98786926269531,40.72311401367188,-73.9795193,40.7438323,2,3626.0,False,True
7052,-73.98461151123048,40.739700317382805,-73.9918212890625,40.740840911865234,-73.98461151123048,40.739700317382805,-73.9895636,40.7398722,2,3627.0,False,True
7053,-73.98242950439453,40.74520492553711,-73.9749298095703,40.74164581298828,-73.98242950439453,40.74520492553711,-73.9772763,40.7428905,2,3628.0,False,True
7054,-73.98429870605469,40.743179321289055,-73.9783706665039,40.75122833251953,-73.98429870605469,40.743179321289055,-73.9806695,40.7451276,2,3629.0,False,True
